grid_id,pm25,pm10,no2,timestamp
1,52.161725134396306,90.83154881153602,47.23478602152846,2026-04-08 00:22:14
2,49.93852159369101,86.96018488702516,45.221575314694064,2026-04-08 00:22:14
3,51.587836537527835,89.83221088771285,46.71510410910255,2026-04-08 00:22:14
4,51.365758043175056,89.44549565642355,46.51400205326161,2026-04-08 00:22:14
5,52.78998324128996,91.92556279890937,47.80370196840237,2026-04-08 00:22:14
6,50.374939677552646,87.72013924789762,45.61677150028833,2026-04-08 00:22:14
7,51.29089454800188,89.31513249840866,46.446209794354964,2026-04-08 00:22:14
8,50.83327171732865,88.51825336194469,46.031811757677254,2026-04-08 00:22:14
9,43.940776495236044,76.51604264928649,39.79034761646793,2026-04-08 00:22:14
10,49.875147013273086,86.84982789097472,45.16418678435823,2026-04-08 00:22:14
11,48.2905388451827,84.09047869774513,43.7292528830184,2026-04-08 00:22:14
12,50.15502595024381,87.33719362244308,45.41762973828054,2026-04-08 00:22:14
13,49.6976223200575,86.54069618960712,45.003430197493614,2026-04-08 00:22:14
14,43.93003822002133,76.4973436095825,39.78062362573142,2026-04-08 00:22:14
15,53.07226421894335,111.6227898680916,24.87336538949969,2026-04-08 00:22:14
16,62.79507563882878,132.07202737512029,29.43015309432291,2026-04-08 00:22:14
17,61.27472514409363,128.87439173064183,28.71761079125388,2026-04-08 00:22:14
18,45.64609466931561,79.48558958372955,41.334589852393435,2026-04-08 00:22:14
19,49.89701499957832,86.88790759520948,45.18398922860615,2026-04-08 00:22:14
20,45.07121918882471,78.48453315524245,40.81401427250133,2026-04-08 00:22:14
21,46.984079165182834,81.81548192782502,42.54619493638128,2026-04-08 00:22:14
22,44.45006494848557,77.40288944895228,40.2515311960082,2026-04-08 00:22:14
23,53.76115216600399,113.07167462341665,25.196226339033956,2026-04-08 00:22:14
24,62.48291425211251,131.41548246626513,29.283852491803763,2026-04-08 00:22:14
25,55.055803725776215,115.79461514867262,25.80299037618627,2026-04-08 00:22:14
26,57.41251803737192,120.75131014282505,26.907511109448293,2026-04-08 00:22:14
27,63.65848750767233,133.88797480121747,29.834808128575453,2026-04-08 00:22:14
28,55.15359546635196,116.00029295552271,25.848822407873875,2026-04-08 00:22:14
29,44.70045313870674,77.83890162192601,40.478268953567834,2026-04-08 00:22:14
30,48.97976592619009,85.29066069114076,44.353378975622626,2026-04-08 00:22:14
31,49.71868219749309,86.57736869766407,45.02250086284731,2026-04-08 00:22:14
32,49.21707010648259,85.7038890914646,44.56826857425553,2026-04-08 00:22:14
33,48.00265522346904,83.58917405012556,43.46856132736697,2026-04-08 00:22:14
34,45.74533177199464,79.6583955964272,41.42445350813649,2026-04-08 00:22:14
35,59.34293597037349,124.81140892444284,27.812239620821135,2026-04-08 00:22:14
36,60.95023294511034,128.19191237774442,28.565531109896085,2026-04-08 00:22:14
37,59.539052862159494,125.22388641948814,27.904153677630962,2026-04-08 00:22:14
38,62.43452008548255,131.31369875735285,29.26117160929343,2026-04-08 00:22:14
39,61.59826739958631,129.55487314084363,28.86924526282293,2026-04-08 00:22:14
40,62.290923433038216,131.01168302093296,29.19387220050578,2026-04-08 00:22:14
41,58.60195082648891,123.25295216311093,27.464962290500385,2026-04-08 00:22:14
42,48.408025467844865,84.29506341716429,43.83564229915716,2026-04-08 00:22:14
43,47.4812133135882,82.68116389195521,42.996372246725606,2026-04-08 00:22:14
44,60.885637885373484,128.05605458298783,28.53525735868466,2026-04-08 00:22:14
45,62.092154422583,130.59362752974832,29.100715175872992,2026-04-08 00:22:14
46,56.56267570135433,118.96390246594586,26.509215704902758,2026-04-08 00:22:14
47,57.47294006199855,120.87839111548675,26.935829085291783,2026-04-08 00:22:14
48,58.01940940710157,122.02773783689564,27.191942742678506,2026-04-08 00:22:14
49,58.55932726351124,123.16330531868655,27.444985915424844,2026-04-08 00:22:14
50,64.32063694833188,135.2806225234082,30.14513754870408,2026-04-08 00:22:14
51,47.38265918558894,82.50954717366459,42.90712705524489,2026-04-08 00:22:14
52,48.294271098213784,84.09697783715234,43.73263260584863,2026-04-08 00:22:14
53,55.7978978495692,117.35540434170132,26.150787451855695,2026-04-08 00:22:14
54,58.85964667851466,123.79494392404058,27.585736543891045,2026-04-08 00:22:14
55,63.38243677438547,133.30737863770173,29.70543149737017,2026-04-08 00:22:14
56,56.5626205785722,118.96378653046021,26.509189870521627,2026-04-08 00:22:14
57,53.572457452727484,112.67480762255927,25.10779083285259,2026-04-08 00:22:14
58,55.008878034765296,115.69591997098964,25.780997723793405,2026-04-08 00:22:14
59,55.016878011571215,115.71274570365995,25.784747071011385,2026-04-08 00:22:14
60,60.28994047633056,126.80317028093027,28.256071996334615,2026-04-08 00:22:14
